hhid,round,comment,LivestockID,animaltype,gender,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q66,s6q67
1009,2,,Sheep(Male),Sheep,Male,2,2,1,2,,,,,
1009,2,,Sheep(Female),Sheep,Female,3,3,2,3,0,0,0,,
1009,2,,Cattle(Male),Cattle,Male,3,3,1,3,,,,,
1009,3,0,Goats(Female),Goats,Female,3,3,3,3,3,3,0,,
1009,3,0,Goats(Male),Goats,Male,3,3,0,3,,,,,
1009,3,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1009,3,0,Sheep(Female),Sheep,Female,1,1,1,1,0,0,0,,
1009,3,0,Cattle(Male),Cattle,Male,1,1,0,1,,,,,
1009,3,0,Camels(Male),Camels,Male,0,,,,,,,,
1009,3,0,Camels(Female),Camels,Female,0,,,,,,,,
1009,3,0,Cattle(Female),Cattle,Female,1,1,1,1,1,1,0,,
1009,4,0,Goats(Male),Goats,Male,8,8,5,8,,,,,
1009,4,0,Camels(Female),Camels,Female,0,,,,,,,,
1009,4,0,Camels(Male),Camels,Male,0,,,,,,,,
1009,4,0,Sheep(Female),Sheep,Female,3,3,1,3,1,1,0,,
1009,4,0,Goats(Female),Goats,Female,30,30,19,30,12,12,0,,
1009,4,0,Cattle(Male),Cattle,Male,4,4,3,4,,,,,
1009,4,0,Cattle(Female),Cattle,Female,2,2,2,2,0,0,0,,
1009,4,0,Sheep(Male),Sheep,Male,1,1,1,1,,,,,
1009,5,0,Sheep(Male),Sheep,Male,1,1,1,1,,,,,
1009,5,0,Goats(Male),Goats,Male,6,6,4,6,,,,,
1009,5,0,Goats(Female),Goats,Female,15,15,10,15,5,5,0,,
1009,5,0,Cattle(Female),Cattle,Female,3,3,2,3,1,1,0,,
1009,5,0,Sheep(Female),Sheep,Female,3,3,2,3,1,1,0,,
1009,5,0,Cattle(Male),Cattle,Male,3,3,2,3,,,,,
1009,5,0,Camels(Male),Camels,Male,0,,,,,,,,
1009,5,0,Camels(Female),Camels,Female,0,,,,,,,,
1009,6,0,Camels(Male),Camels,Male,0,,,,,,,,
1009,6,0,Cattle(Female),Cattle,Female,3,3,2,3,0,0,0,,
1009,6,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1009,6,0,Goats(Female),Goats,Female,0,,,,,,,,
1009,6,0,Camels(Female),Camels,Female,0,,,,,,,,
1009,6,0,Cattle(Male),Cattle,Male,2,2,1,2,,,,,
1009,6,0,Goats(Male),Goats,Male,0,,,,,,,,
1009,6,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1010,1,,Camels(Female),Camels,Female,0,,,,,,,,
1010,1,,Sheep(Male),Sheep,Male,0,,,,,,,,
1010,1,,Cattle(Female),Cattle,Female,0,,,,,,,,
1010,1,,Cattle(Male),Cattle,Male,0,,,,,,,,
1010,1,,Camels(Male),Camels,Male,0,,,,,,,,
1010,1,,Sheep(Female),Sheep,Female,0,,,,,,,,
1010,1,,Goats(Male),Goats,Male,6,6,6,0,,,,,
1010,1,,Goats(Female),Goats,Female,13,13,13,1,0,0,0,,
1010,2,,Cattle(Male),Cattle,Male,0,0,0,0,,,,,
1010,2,,Camels(Male),Camels,Male,0,0,0,0,,,,,
1010,2,,Goats(Female),Goats,Female,15,15,13,15,0,0,0,,
1010,2,,Sheep(Male),Sheep,Male,0,0,0,0,,,,,
1010,2,,Goats(Male),Goats,Male,7,7,6,7,,,,,
1010,2,,Cattle(Female),Cattle,Female,0,0,0,0,0,0,0,,
1010,2,,Sheep(Female),Sheep,Female,0,0,0,0,0,0,0,,
1010,2,,Camels(Female),Camels,Female,0,0,0,0,0,0,0,,
